,017c_7byte
21880,00111011
21892,00101111
21907,00000100
21924,00111001
21940,00001110
21956,00101011
21972,00010111
21982,00100110
21996,00101101
22009,00111101
22019,00000000
22022,00100111
22034,00110100
22041,00111001
22052,00001101
22060,00000100
22085,00011011
22089,00011110
22099,00101101
22125,00010001
22132,00010001
22148,00111010
22164,00101110
22176,00111100
22186,00001100
22193,00101111
22209,00111100
22219,00000001
22236,00011100
22252,00001101
22268,00010011
22283,00110001
22293,00000100
22304,00111101
22316,00001101
22330,00110000
22340,00000011
22356,00000001
22373,00101011
22387,00010010
22397,00100001
22404,00100000
22421,00000110
22439,00000101
22449,00010000
22459,00101111
22483,00010000
22493,00100101
22509,00001000
22528,00110010
22544,00010000
22555,00111001
22565,00001011
22584,00111101
22599,00100101
22610,00000110
22626,00011011
22636,00101001
22646,00000111
22663,00000011
22674,00011001
22684,00101001
22704,00001111
22717,00110110
22729,00011101
22739,00101100
22746,00010111
22757,00100110
22759,00111100
22769,00001111
22781,00101001
22799,00101001
22813,00111000
22837,00100001
22850,00101011
22869,00001001
22882,00001010
22903,00101001
22920,00011011
22930,00101000
22959,00101000
22977,00010001
22987,00001100
23007,00111111
23019,00101000
23029,00110111
23036,00001111
23048,00011110
23062,00110001
23074,00100100
23084,00110001
23090,00000001
23110,00111010
23124,00111010
23138,00010110
23152,00100101
23166,00100111
23180,00001011
23196,00101100
23215,00110000
23226,00001001
23237,00011000
23244,00110100
23270,00001000
23283,00101011
23300,00101111
23315,00000010
23329,00110010
23345,00111110
23372,00101011
23385,00000001
23401,00011001
23429,00001000
23433,00000001
23445,00010011
23448,00101001
23460,00111000
23465,00011100
23477,00101011
23488,00111100
23497,00000000
23509,00011111
23521,00001011
23533,00011010
23543,00010001
23554,00110111
23569,00001111
23581,00011110
23585,00101001
23594,00111000
23601,00010000
23614,00101101
23634,00111101
23644,00010111
23656,00110001
23669,00000100
23681,00100010
23694,00010010
23714,00111110
23725,00011111
23738,00101110
23745,00010010
23758,00010001
23772,00101111
23785,00000001
23799,00001111
23815,00011110
23832,00000000
23841,00001110
23852,00011101
23865,00111100
23886,00111110
23905,00000001
23919,00111101
23929,00101101
23948,00001111
